指标,S,i,CPI,M1,y,g,pai
2006-08,7.96,2.4,1.3,114845.67,54934.23333,-1.38,0
2006-09,7.91,2.32,1.5,116814.1,56064.7,-0.96,0.59
2006-10,7.88,2.4,1.4,118359.96,58583.66667,1.82,0.2
2006-11,7.84,3.05,1.9,121644.95,61102.63333,4.48,0.59
2006-12,7.81,2.25,2.8,126028.05,63621.6,7.03,1.18
2007-01,7.78,1.86,2.2,128484.06,61467.5,1.73,0.29
2007-02,7.74,2.67,2.7,126258.08,59313.4,-3.42,1.78
2007-03,7.73,1.74,3.3,127881.31,57159.3,-8.44,2.48
2007-04,7.71,2.82,3,127678.33,59700.06667,-5.92,1.78
2007-05,7.65,2.01,3.4,130275.8,62240.83333,-3.5,1.97
2007-06,7.62,2.39,4.4,135847.4,64781.6,-1.18,2.86
2007-07,7.57,2.33,5.6,136237.43,66348.43333,-0.4,4.55
2007-08,7.56,2,6.5,140993.21,67915.26667,0.36,5.13
2007-09,7.51,3.36,6.2,142591.57,69482.1,1.11,4.63
2007-10,7.47,3.03,6.5,144649.33,72544.5,4,5.03
2007-11,7.4,2.28,6.9,148009.82,75606.9,6.85,4.91
2007-12,7.3,2.09,6.5,152519.17,78669.3,9.66,3.6
2008-01,7.19,2.32,7.1,154872.59,75570.73333,3.96,4.79
2008-02,7.11,2.65,8.7,150177.88,72472.16667,-1.55,5.84
2008-03,7.02,2.25,8.3,150867.47,69373.6,-6.89,4.84
2008-04,7,2.59,8.5,151694.91,72486.33333,-3.85,5.34
2008-05,6.94,2.83,7.7,153344.75,75599.06667,-0.86,4.16
2008-06,6.86,3.07,7.1,154820.15,78711.8,2.1,2.59
2008-07,6.84,2.69,6.3,154992.44,79961.23333,2.63,0.66
2008-08,6.83,2.81,4.9,156889.92,81210.66667,3.18,-1.5
2008-09,6.82,2.88,4.6,155748.97,82460.1,3.74,-1.51
2008-10,6.83,2.7,4,157194.36,84539.73333,5.36,-2.35
2008-11,6.83,2.3,2.4,157826.63,86619.36667,6.96,-4.21
2008-12,6.83,1.24,1.2,166217.13,88699,8.55,-4.98
2009-01,6.84,0.9,1,165214.34,83792.4,1.64,-5.7
2009-02,6.84,0.87,-1.6,166149.6,78885.8,-5.17,-9.48
2009-03,6.84,0.84,-1.2,176541.13,73979.2,-11.9,-8.77
2009-04,6.83,0.86,-1.5,178213.57,77274.73333,-8.86,-9.22
2009-05,6.83,0.85,-1.4,182025.58,80570.26667,-5.94,-8.45
2009-06,6.83,0.91,-1.7,193138.15,83865.8,-3.14,-8.22
2009-07,6.83,1.32,-1.8,195889.27,85859.5,-1.94,-7.62
2009-08,6.83,1.21,-1.2,200394.83,87853.2,-0.82,-5.82
2009-09,6.83,1.27,-0.8,201708.14,89846.9,0.22,-5.16
2009-10,6.83,1.3,-0.5,207545.74,93506.53333,3.04,-4.33
2009-11,6.83,1.25,0.6,212493.2,97166.16667,5.74,-1.76
2009-12,6.83,1.25,1.9,221445.81,100825.8,8.35,0.69
2010-01,6.83,1.16,1.53,229588.98,96384.3,2.25,0.52
2010-02,6.83,1.52,2.7,224286.95,91942.8,-3.72,4.37
2010-03,6.83,1.4,2.37,229397.93,87501.3,-9.59,3.61
2010-04,6.83,1.34,2.81,233909.76,91450,-6.79,4.38
2010-05,6.83,1.67,3.06,236497.88,95398.7,-4.11,4.52
2010-06,6.78,2.31,2.95,240580,99347.4,-1.55,4.73
2010-07,6.78,1.67,3.3,240664.07,101552.8333,-0.79,5.19
2010-08,6.81,1.62,3.48,244340.64,103758.2667,-0.07,4.74
2010-09,6.69,1.9,3.61,243821.9,105963.7,0.6,4.45
2010-10,6.67,1.68,4.37,253313.17,110411.4,3.36,4.89
2010-11,6.67,1.76,5.12,259420.32,114859.1,6.04,4.49
2010-12,6.59,2.9,4.59,266621.54,119306.8,8.66,2.64
2011-01,6.59,3.7,4.9,261765.01,114361.1667,2.78,3.32
2011-02,6.58,2.73,4.9,259200.5,109415.5333,-2.94,2.14
2011-03,6.56,1.95,5.4,266255.48,104469.9,-8.5,2.96
2011-04,6.5,2.16,5.3,266766.91,109278.5667,-5.49,2.42
2011-05,6.48,2.93,5.5,269289.63,114087.2333,-2.55,2.37
2011-06,6.47,4.56,6.4,274662.57,118895.9,0.33,3.35
2011-07,6.44,4.44,6.5,270545.65,121451.3333,1.28,3.1
2011-08,6.39,3.3,6.2,273393.77,124006.7667,2.23,2.63
2011-09,6.35,3.74,6.1,267193.16,126562.2,3.2,2.4
2011-10,6.32,3.75,5.5,276552.67,130378.8333,5.2,1.08
2011-11,6.35,3.49,4.2,281416.37,134195.4667,7.2,-0.88
2011-12,6.3,3.33,4.1,289847.7,138012.1,9.2,-0.47
2012-01,6.31,4.37,4.5,270010.4,131127.2667,2.8,-0.38
2012-02,6.29,3.38,3.2,270312.11,124242.4333,-3.45,-1.62
2012-03,6.29,2.58,3.59,277998.11,117357.6,-9.59,-1.72
2012-04,6.28,3.25,3.37,274983.82,122011.9333,-6.81,-1.83
2012-05,6.34,2.19,3,278656.31,126666.2667,-4.08,-2.37
2012-06,6.32,2.72,2.15,287526.17,131320.6,-1.4,-3.99
2012-07,6.33,2.78,1.78,283090.68,133576.9333,-0.55,-4.43
2012-08,6.34,2.84,2.05,285739.27,135833.2667,0.29,-3.91
2012-09,6.34,2.93,1.91,286788.21,138089.6,1.12,-3.95
2012-10,6.3,2.87,1.7,293309.78,142663.7333,3.63,-3.6
2012-11,6.29,2.57,2.04,296883,147237.8667,6.12,-2.07
2012-12,6.29,2.61,2.52,308672.99,151812,8.59,-1.52
2013-01,6.28,2.27,2,311228.55,144357.8667,2.49,-2.39
2013-02,6.28,2.77,3.22,296103.24,136903.7333,-3.52,0.02
2013-03,6.27,2.47,2.07,310898.29,129449.6,-9.44,-1.47
2013-04,6.22,2.49,2.39,307648.42,134139.3,-6.86,-0.95
2013-05,6.18,2.92,2.1,310204.48,138829,-4.33,-0.87
2013-06,6.18,6.58,2.67,313499.82,143518.7,-1.84,0.51
2013-07,6.18,3.54,2.67,310596.46,146420.0333,-0.62,0.87
2013-08,6.17,3.44,2.57,314085.91,149321.3667,0.59,0.51
2013-09,6.15,3.47,3.05,312330.34,152222.7,1.78,1.12
2013-10,6.14,3.83,3.21,319509.38,157405.9,4.49,1.48
2013-11,6.13,4.12,3.02,324821.92,162589.1,7.17,0.96
2013-12,6.1,4.16,2.5,337291.05,167772.3,9.84,-0.02
2014-01,6.11,3.86,2.49,314900.55,158768.1333,3.27,0.48
2014-02,6.12,3.01,1.95,316625.11,149763.9667,-3.21,-1.23
2014-03,6.15,2.49,2.38,327683.74,140759.8,-9.6,0.3
2014-04,6.16,2.72,1.8,324482.52,146003.0667,-6.83,-0.58
2014-05,6.17,2.56,2.48,327839.56,151246.3333,-4.11,0.37
2014-06,6.15,2.85,2.34,341487.45,156489.6,-1.43,-0.32
2014-07,6.17,3.41,2.29,331347.32,159487.9667,-0.19,-0.37
2014-08,6.16,3.17,1.99,332023.23,162486.3333,1.04,-0.57
2014-09,6.15,2.97,1.63,327220.21,165484.7,2.26,-1.38
2014-10,6.14,2.69,1.6,329617.73,170599.4333,4.78,-1.56
2014-11,6.13,2.82,1.44,335114.13,175714.1667,7.29,-1.53
2014-12,6.12,3.49,1.51,348056.41,180828.9,9.78,-0.97
2015-01,6.14,3.18,0.76,348109.5,170931.9,3.2,-1.69
2015-02,6.15,3.64,1.43,334439.22,161034.9,-3.31,-0.51
2015-03,6.14,3.69,1.38,337210.52,151137.9,-9.75,-0.98
2015-04,6.11,2.49,1.51,336388.24,156941.8333,-6.81,-0.28
2015-05,6.12,1.42,1.23,343085.86,162745.7667,-3.93,-1.22
2015-06,6.11,1.44,1.39,356082.86,168549.7,-1.11,-0.93
2015-07,6.12,1.51,1.65,353122.19,171232.3667,-0.15,-0.63
2015-08,6.39,1.79,1.96,362793.73,173915.0333,0.77,-0.03
2015-09,6.36,2.05,1.6,364416.9,176597.7,1.68,-0.03
2015-10,6.35,1.99,1.27,375806.45,181922.7667,4.08,-0.32
2015-11,6.4,1.9,1.49,387618.32,187247.8333,6.44,0.05
2015-12,6.49,1.97,1.64,400953.44,192572.9,8.76,0.13
2016-01,6.55,2.11,1.75,412685.64,182518.6,2.42,0.98
2016-02,6.55,2.09,2.28,392504.7,172464.3,-3.86,0.84
2016-03,6.46,2.09,2.3,411581.31,162410,-10.09,0.91
2016-04,6.46,2.11,2.33,413504.84,168742.7333,-7.26,0.81
2016-05,6.55,2.1,2.04,424250.7,175075.4667,-4.5,0.8
2016-06,6.63,2.14,1.88,443643.7,181408.2,-1.83,0.48
2016-07,6.65,2.12,1.77,442934.43,184609,-0.91,0.12
2016-08,6.69,2.13,1.34,454543.6,187809.8,-0.04,-0.61
2016-09,6.68,2.25,1.92,454340.25,191010.6,0.8,0.31
2016-10,6.76,2.3,2.1,465446.65,197862.4667,3.52,0.82
2016-11,6.89,2.33,2.25,475405.54,204714.3333,6.19,0.75
2016-12,6.94,2.44,2.08,486557.24,211566.2,8.81,0.43
2017-01,6.86,2.36,2.55,472526.45,201666.7,2.83,0.79
2017-02,6.88,2.47,0.8,476527.6,191767.2,-3.05,-1.45
2017-03,6.9,2.62,0.92,488770.09,181867.7,-8.85,-1.35
2017-04,6.89,2.65,1.17,490180.42,188561.9,-6.32,-1.13
2017-05,6.86,2.88,1.52,496389.78,195256.1,-3.86,-0.51
2017-06,6.77,2.94,1.5,510228.17,201950.3,-1.46,-0.37
2017-07,6.73,2.82,1.41,510484.58,205563.3,-0.61,-0.35
2017-08,6.6,2.96,1.77,518113.93,209176.3,0.22,0.42
2017-09,6.64,2.92,1.63,517863.04,212789.3,1.05,-0.28
2017-10,6.64,2.82,1.87,525977.19,220335.7667,3.72,-0.23
2017-11,6.6,2.92,1.73,535565.05,227882.2333,6.36,-0.51
2017-12,6.53,2.91,1.85,543790.15,235428.7,8.98,-0.23
2018-01,6.33,2.78,1.47,543247.13,224297.7,3.01,-1.05
2018-02,6.33,2.73,2.9,517035.99,213166.7,-2.86,2.08
2018-03,6.29,2.74,2.06,523540.07,202035.7,-8.62,1.13
2018-04,6.34,2.81,1.8,525447.77,209344.5333,-6.02,0.62
2018-05,6.41,2.72,1.75,526276.72,216653.3667,-3.46,0.23
2018-06,6.62,2.73,1.85,543944.71,223962.2,-0.93,0.34
2018-07,6.82,2.47,2.06,536624.29,227466.2333,-0.09,0.64
2018-08,6.82,2.29,2.3,538324.64,230970.2667,0.76,0.52
2018-09,6.88,2.59,2.47,538574.08,234474.3,1.62,0.83
2018-10,6.96,2.42,2.54,540128.37,242585.8333,4.49,0.66
2018-11,6.94,2.49,2.18,543498.66,250697.3667,7.36,0.44
2018-12,6.86,2.57,1.86,551685.91,258808.9,10.25,0.01
2019-01,6.7,2.15,1.74,545638.46,244928.7,3.82,0.27
2019-02,6.69,2.2,1.49,527190.48,231048.5,-2.52,-1.37
2019-03,6.73,2.42,2.28,547575.54,217168.3,-8.79,0.22
2019-04,6.73,2.43,2.54,540614.6,225279.7333,-5.8,0.73
2019-05,6.9,2.24,2.74,544355.64,233391.1667,-2.84,0.97
2019-06,6.87,1.7,2.68,567696.18,241502.6,0.1,0.81
2019-07,6.88,2.08,2.78,553043.11,244683.8333,0.99,0.71
2019-08,7.09,2.65,2.84,556798.09,247865.0667,1.87,0.53
2019-09,7.07,2.55,3.02,557137.95,251046.3,2.75,0.54
2019-10,7.05,2.56,3.76,558143.92,259630.2,5.82,1.19
2019-11,7.03,2.29,4.49,562486.52,268214.1,8.88,2.26
2019-12,6.98,2.09,4.46,576009.15,276798,11.9,2.55
2020-01,6.89,1.99,5.38,545531.79,252946.9333,1.83,3.58
2020-02,7.01,1.83,5.17,552700.73,229095.8667,-8.19,3.63
2020-03,7.09,1.4,4.27,575050.29,205244.8,-18.16,1.95
2020-04,7.06,1.11,3.29,570150.48,219612.4333,-12.93,0.73
2020-05,7.13,1.25,2.44,581111.06,233980.0667,-7.82,-0.29
2020-06,7.08,1.85,2.48,604317.97,248347.7,-2.84,-0.19
2020-07,6.98,1.9,2.7,591192.64,253683.7,-1.49,-0.08
2020-08,6.86,2.04,2.38,601289.1,259019.7,-0.2,-0.45
2020-09,6.81,1.8,1.7,602312.12,264355.7,1.04,-1.28
2020-10,6.72,2.13,0.5,609182.41,274776.7333,4.17,-3.14
2020-11,6.58,1.98,-0.5,618632.17,285197.7667,7.24,-4.78
2020-12,6.52,1.3,0.2,625580.99,295618.8,10.27,-4.08
2021-01,6.47,1.78,-0.3,625563.81,280145.9333,3.67,-5.39
2021-02,6.47,2.06,-0.2,593487.46,264673.0667,-2.82,-5.11
2021-03,6.57,2.01,0.4,616113.17,249200.2,-9.21,-3.71
2021-04,6.47,2.01,0.9,605421.89,260416.5333,-5.85,-2.31
2021-05,6.37,2.09,1.3,616828.32,271632.8667,-2.54,-1.11
2021-06,6.46,2.13,1.1,637479.36,282849.2,0.72,-1.35
2021-07,6.46,2.08,1,620367.05,285662.1667,0.99,-1.66
2021-08,6.47,2.08,0.8,626658.69,288475.1333,1.27,-1.54
2021-09,6.49,2.16,0.7,624645.68,291288.1,1.58,-0.98
2021-10,6.39,2.04,1.5,626082.12,302825.2,4.95,1
2021-11,6.38,2.03,2.3,637482.04,314362.3,8.31,2.81
2021-12,6.37,2.02,1.5,647443.35,325899.4,11.69,1.3
2022-01,6.37,2.01,0.9,613859.35,307381.1,4.83,1.2
2022-02,6.32,2.06,0.9,621612.11,288862.8,-1.93,1.1
2022-03,6.35,2.07,1.5,645063.8,270344.5,-8.62,1.1
2022-04,6.62,1.62,2.1,636139.01,277711.9,-6.54,1.19
2022-05,6.66,1.5,2.1,645107.52,285079.3,-4.48,0.79
2022-06,6.71,1.56,2.5,674374.81,292446.7,-2.43,1.38
2022-07,6.74,1.35,2.7,661832.33,297611.8333,-1.15,1.68
2022-08,6.89,1.23,2.5,664604.85,302776.9667,0.13,1.69
2022-09,7.1,1.41,2.8,664535.17,307942.1,1.39,2.09
2022-10,7.18,1.41,2.1,662140.99,316624.9667,3.8,0.59
2022-11,7.18,1.55,1.6,667042.61,325307.8333,6.19,-0.68
2022-12,6.96,1.26,1.8,671674.76,333990.7,8.56,0.3
2023-01,6.76,1.44,2.1,655214.16,317468.1333,2.75,1.19
2023-02,6.95,1.92,1,657938.74,300945.5667,-3.02,0.1
2023-03,6.87,1.7,0.7,678059.63,284423,-8.76,-0.79
2023-04,6.92,1.69,0.1,669761.55,292379.5333,-6.66,-1.96
2023-05,7.08,1.5,0.2,675252.98,300336.0667,-4.62,-1.86
2023-06,7.23,1.57,0,695595.48,308292.6,-2.63,-2.44
2023-07,7.13,1.49,-0.3,677218.92,312187.1667,-1.98,-2.92
2023-08,7.18,1.71,0.1,679588.35,316081.7333,-1.36,-2.34
2023-09,7.18,1.87,0,678443.65,319976.3,-0.77,-2.72
2023-10,7.18,1.92,-0.2,674696.07,329280.9,1.46,-2.25
2023-11,7.1,1.89,-0.5,675903.41,338585.5,3.65,-2.07
2023-12,7.08,1.78,-0.3,680542.52,347890.1,5.82,-2.06
